CustomerKey,GeographyKey,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11602,135,Larry,,Gill,FALSE,4/13/1977 00:00,S,,M,larry16@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,Am Gallberg 645,,1 (11) 500 555-0125,1/11/2004 00:00,2-5 Miles
12517,133,Alexa,,Watson,FALSE,8/25/1977 00:00,S,,M,alexa0@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,Residenz Straße 98,,1 (11) 500 555-0191,4/21/2004 00:00,2-5 Miles
12518,161,Jacquelyn,,Dominguez,FALSE,9/27/1977 00:00,S,,M,jacquelyn13@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,Werftstr 544,,1 (11) 500 555-0134,2/2/2004 00:00,2-5 Miles
12714,157,Colleen,,Lu,FALSE,7/17/1973 00:00,S,,M,colleen11@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,Hüttenstr 20995,,1 (11) 500 555-0174,1/20/2004 00:00,2-5 Miles
12871,233,Leah,,Li,FALSE,10/6/1976 00:00,S,,M,leah2@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,9405 Curletto Dr.,,1 (11) 500 555-0122,5/12/2004 00:00,2-5 Miles
13830,237,Andrea,,Cox,FALSE,8/3/1977 00:00,S,,M,andrea11@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,1318 Pinehurst Court,,1 (11) 500 555-0136,6/13/2004 00:00,2-5 Miles
13838,263,Jill,,Rubio,FALSE,6/27/1976 00:00,S,,M,jill29@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,1153 Loma Linda,,1 (11) 500 555-0160,3/14/2004 00:00,2-5 Miles
14839,238,Natasha,,Sanz,FALSE,5/18/1977 00:00,S,,M,natasha20@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,8489 Seaview Ave.,,1 (11) 500 555-0115,12/3/2003 00:00,2-5 Miles
14840,277,Autumn,,Zhu,FALSE,10/23/1977 00:00,S,,M,autumn13@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,5115 Meadowbrook Court,,1 (11) 500 555-0193,8/25/2003 00:00,2-5 Miles
14848,186,George,,Louverdis,FALSE,9/10/1975 00:00,S,,M,george5@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,Attaché de Presse,,1 (11) 500 555-0171,11/12/2002 00:00,2-5 Miles
16453,271,Mayra,,Chandra,FALSE,4/9/1977 00:00,S,,M,mayra1@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,8614 Lagoon Court,,1 (11) 500 555-0133,10/12/2003 00:00,2-5 Miles
16458,132,Michele,,Ruiz,FALSE,12/19/1976 00:00,S,,M,michele37@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,Pascalstr 24,,1 (11) 500 555-0158,9/28/2003 00:00,2-5 Miles
16460,277,Jodi,,Xu,FALSE,11/17/1976 00:00,S,,M,jodi5@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,6594 Bent Tree Lane,,1 (11) 500 555-0139,12/17/2003 00:00,2-5 Miles
18038,207,Kelli,,Kumar,FALSE,5/18/1975 00:00,S,,M,kelli30@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,"76, rue Pierre-Demoulin",,1 (11) 500 555-0175,2/11/2002 00:00,2-5 Miles
19371,168,Roy,,Mehta,FALSE,6/7/1977 00:00,S,,M,roy14@adventure-works.com,"$30,000 ",0,0,Partial College,Clerical,0,1,Winter der Böck 8559,,1 (11) 500 555-0112,5/3/2004 00:00,2-5 Miles
